SKU,Product Title,Product Type,Vendor,Price,Discounted Price,Collection,Color,Tags,Size,Images,Description,Size & Fit,Made in,Composition,Tissue
241SH062 1520100,THE PABLO SHIRTS,Camicia,JACQUEMUS,590.00,193.44,Spring Summer 24 Collection,Bianco,"Camicia,Bianco,Spring Summer 24 Collection",34,"http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241sh0621520100.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241sh0621520100_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241sh0621520100_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241sh0621520100_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241sh0621520100_4_p.jpg","White, cotton, poplin weave, asymmetrical design, box pleat detail, point collar, mother of pearl button fastening, long sleeves with elasticated cuffs, patch pocket at chest, asymmetrical hem.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Bulgaria,Cotton 100%,COTTON
10010 NERO,EMBROIDERED WOOL BLEND COAT,Cappotto,5 PROGRESS,570.00,168.20,Fall Winter 23 Collection,Nero,"Cappotto,Nero,Fall Winter 23 Collection","XS,S","http://specialshop.atelier98.net/public/foto/fw23---5%20progress---10010nero.jpg,http://specialshop.atelier98.net/public/foto/fw23---5%20progress---10010nero_1_p.jpg","Black coat, button fastening, puff sleeves with writing on the cuffs, polo collar, one pocket on the top left, two side pockets.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,Polyester 95% Elastane 5%,WOOL MIX
W2R302T L3111923,FLARED TROUSERS,Pantalone,PS PAUL SMITH,325.00,95.90,Fall Winter 23 Collection,Rosa,"Pantalone,Rosa,Fall Winter 23 Collection",42,"http://specialshop.atelier98.net/public/foto/fw23---ps%20paul%20smith%20main---w2r302tl3111923.jpg,http://specialshop.atelier98.net/public/foto/fw23---ps%20paul%20smith%20main---w2r302tl3111923_1_p.jpg","Stretch cotton velvet finish, flamingo pink, belt loops with pressed pleat, front fastening with hidden button and zip, straight leg, high waist, two side inset pockets, two back welt pockets.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Portugal,Cotton 98% Elastane 2%,COTTON
APHRODITE SEQUINSSILKGOLD,APHRODITE LONG DRESS IN SEQUINS,Abito corto s/m,THE NINA STUDIO,425.00,135.86,Spring Summer 24 Collection,Oro,"Abito corto s/m,Oro,Spring Summer 24 Collection","M,THE","http://specialshop.atelier98.net/public/foto/ss24---the%20nina%20studio---aphroditesequinssilkgold.jpg,http://specialshop.atelier98.net/public/foto/ss24---the%20nina%20studio---aphroditesequinssilkgold_1_p.jpg","Long dress with sequins, V-neck, thin straps and low back.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,Polyester 97% Elastane 3%,SILK
MAD214F431 I9620142,WOOL BLEND CARDIGAN,Cardigan,FABIANA FILIPPI,590.00,217.62,New Fall Winter 24 collection,Bianco,"Cardigan,Bianco,New Fall Winter 24 collection","40,42,44","http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f431i9620142.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f431i9620142_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f431i9620142_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f431i9620142_3_p.jpg,http://specialshop.atelier98.net/public/foto/fw24---fabiana%20filippi%20pre---mad214f431i9620142_4_p.jpg","Ivory white tone, virgin wool blend, metallic texture, front button fastening, V-neck, dropped shoulder sleeves, long sleeves, straight hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size 40 (IT),Italy,"Virgin Wool 77%, Viscose 18%, Polyester 5%",VISCOSE WOOL
779959 Y76NI3250,ONE SHOULDER SILK DRESS,Abito lungo s/m,SAINT LAURENT,"2.390,00","881,56",Spring Summer 24 Collection,Verde,"Abito lungo s/m,Verde,Spring Summer 24 Collection",THE,"http://specialshop.atelier98.net/public/foto/ss24---saint%20laurent%20pre---779959y76ni3250.jpg,http://specialshop.atelier98.net/public/foto/ss24---saint%20laurent%20pre---779959y76ni3250_1_p.jpg","Moss green dress, silk, one shoulder design, sleeveless, long design, straight hem.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,Silk 100%,SILK
241SH064 1520100,THE SWIMSUIT CHEMISE,Camicia,JACQUEMUS,590.00,193.44,Spring Summer 24 Collection,Bianco,"Camicia,Bianco,Spring Summer 24 Collection","34,36,38,40","http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241sh0641520100.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241sh0641520100_1_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241sh0641520100_2_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241sh0641520100_3_p.jpg,http://specialshop.atelier98.net/public/foto/ss24---jacquemus---241sh0641520100_4_p.jpg","White cotton poplin construction, classic collar, long sleeves with buttoned cuffs, patch pocket on the chest, triangular opening at the back with adjustable belt, straight hem, front button fastening.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 36 (FR),Bulgaria,Cotton 100%,COTTON
VOLPEDOMIDIDRESS RUBYRED,SILK MIDI DRESS,Abito lungo m/c,CRIDA,650.00,197.13,Fall Winter 23 Collection,Rosso,"Abito lungo m/c,Rosso,Fall Winter 23 Collection","0,1,2","http://specialshop.atelier98.net/public/foto/fw23---crida---volpedomididressrubyred.jpg,http://specialshop.atelier98.net/public/foto/fw23---crida---volpedomididressrubyred_1_p.jpg","Red dress, elasticated waist, button fastening at the neck.",This item fits true to size. We suggest you take your size The model is 1.75m tall and wears size 1 (NUM),Italy,Silk 100%,SILK
UDCO3D128N2 NAVY,OVERSIZED WOOL BLEND COAT,Cappotto,DUNST,570.00,158.85,Fall Winter 23 Collection,Blu,"Cappotto,Blu,Fall Winter 23 Collection",M,"http://specialshop.atelier98.net/public/foto/fw23---dunst---udco3d128n2navy.jpg,http://specialshop.atelier98.net/public/foto/fw23---dunst---udco3d128n2navy_1_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---dunst---udco3d128n2navy_2_p.jpg,http://specialshop.atelier98.net/public/foto/fw23---dunst---udco3d128n2navy_3_p.jpg","Navy blue, vertical stitching design, lapel collar, double breasted button fastening, long sleeves, two side welt pockets and full lining.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Vietnam,Outer: Wool 82% Nylon 18% Filling: Polyester 100% Lining: Polyester 100%,WOOL MIX
ATHENA SATINVIOLET,ATHENA LONG SILK DRESS,Abito lungo s/m,THE NINA STUDIO,345.00,110.29,Spring Summer 24 Collection,Viola,"Abito lungo s/m,Viola,Spring Summer 24 Collection","M,THE","http://specialshop.atelier98.net/public/foto/ss24---the%20nina%20studio---athenasatinviolet.jpg,http://specialshop.atelier98.net/public/foto/ss24---the%20nina%20studio---athenasatinviolet_1_p.jpg","Long purple dress, V-neck, sleeveless with crossed straps on the back.",This item fits true to size. We suggest you take your size. The model is 1.75m tall and wears size S,Italy,Polyester 97% Elastane 3%,SILK
